Avg,Left before being seen,FIPS,Facility ID,State,County Name,FIPS_code,PCTPOVALL_2020
100,,20135,171300,KS,NESS,20135,9.6
158,1,48061,450662,TX,CAMERON,48061,24.4
142,0,26029,231322,MI,CHARLEVOIX,26029,8.7
145,0,48029,450856,TX,BEXAR,48029,15
160,1,48453,450056,TX,TRAVIS,48453,10.2
150,1,26159,231332,MI,VAN BUREN,26159,14.1
120,,31017,281325,NE,BROWN,31017,10.8
205,1,48157,450847,TX,FORT BEND,48157,7.4
149,2,6065,50684,CA,RIVERSIDE,6065,11.2
148,1,47143,441310,TN,RHEA,47143,15
,,27123,243300,MN,RAMSEY,27123,12.6
,,19123,161379,IA,MAHASKA,19123,10.2
96,0,47073,440032,TN,HAWKINS,47073,15.5
149,1,9003,70035,CT,HARTFORD,9003,10.7
106,0,19059,160124,IA,DICKINSON,19059,6.7
158,,21027,181319,KY,BRECKINRIDGE,21027,17.1
252,3,4013,30002,AZ,MARICOPA,4013,11.6
170,1,15009,120002,HI,MAUI,15009,9.5
119,1,5131,40055,AR,SEBASTIAN,5131,16.8
108,2,19099,160032,IA,JASPER,19099,8.5
116,,31177,281359,NE,WASHINGTON,31177,5.3
93,,31173,281349,NE,THURSTON,31173,18.2
154,2,55085,520019,WI,ONEIDA,55085,7.8
,,6037,53302,CA,LOS ANGELES,6037,13.2
320,6,20209,170040,KS,WYANDOTTE,20209,16.9
123,1,17091,140155,IL,KANKAKEE,17091,13.6
,,46099,433300,SD,MINNEHAHA,46099,8.1
215,2,48439,450064,TX,TARRANT,48439,10.5
125,3,22123,190081,LA,WEST CARROLL,22123,20.8
,,42101,393307,PA,PHILADELPHIA,42101,19.4
221,2,36109,330307,NY,TOMPKINS,36109,12.4
187,3,53033,500088,WA,KING,53033,7.6
149,1,12011,100038,FL,BROWARD,12011,11
178,4,23011,200039,ME,KENNEBEC,23011,11.2
135,,29185,261301,MO,ST. CLAIR,29185,18.7
141,,34033,310091,NJ,SALEM,34033,12.2
164,1,48439,450135,TX,TARRANT,48439,10.5
117,0,18159,151311,IN,TIPTON,18159,7.3
,,48305,451351,TX,LYNN,48305,14.4
,,72061,400122,PR,GUAYNABO,,
158,1,12099,100288,FL,PALM BEACH,12099,12
141,1,42095,390049,PA,NORTHAMPTON,42095,7.6
115,1,55135,521326,WI,WAUPACA,55135,8
,,36025,331304,NY,DELAWARE,36025,12.8
100,0,20067,170110,KS,GRANT,20067,10.1
113,0,20035,171383,KS,COWLEY,20035,14
170,1,18003,150017,IN,ALLEN,18003,11.4
,,6001,53301,CA,ALAMEDA,6001,8.6
108,0,6037,50755,CA,LOS ANGELES,6037,13.2
140,1,39095,360112,OH,LUCAS,39095,17.5
168,1,36101,330277,NY,STEUBEN,36101,12.1
,,48453,453310,TX,TRAVIS,48453,10.2
142,0,48339,670059,TX,MONTGOMERY,48339,8.2
78,0,19081,161307,IA,HANCOCK,19081,8.1
93,,29039,261323,MO,CEDAR,29039,18.5
