Facility ID,FIPS,County_Name,State
10001,1069,houston,AL
10005,1095,marshall,AL
10006,1077,lauderdale,AL
10007,1039,covington,AL
10008,1041,crenshaw,AL
10011,1073,jefferson,AL
10012,1049,de kalb,AL
10016,1117,shelby,AL
10018,1073,jefferson,AL
10019,1033,colbert,AL
10021,1045,dale,AL
10022,1019,cherokee,AL
10023,1101,montgomery,AL
10024,1101,montgomery,AL
10029,1081,lee,AL
10033,1073,jefferson,AL
10034,1051,elmore,AL
10035,1043,cullman,AL
10036,1039,covington,AL
10038,1015,calhoun,AL
10039,1089,madison,AL
10040,1055,etowah,AL
10044,1093,marion,AL
10045,1057,fayette,AL
10046,1055,etowah,AL
10049,1031,coffee,AL
10051,1063,greene,AL
10052,1123,tallapoosa,AL
10055,1069,houston,AL
10056,1073,jefferson,AL
10058,1007,bibb,AL
10059,1079,lawrence,AL
10061,1071,jackson,AL
10062,1061,geneva,AL
10065,1123,tallapoosa,AL
10069,1005,barbour,AL
10073,1027,clay,AL
10078,1015,calhoun,AL
10079,1083,limestone,AL
10083,1003,baldwin,AL
10085,1103,morgan,AL
10086,1057,fayette,AL
10087,1097,mobile,AL
10089,1127,walker,AL
10090,1097,mobile,AL
10091,1025,clarke,AL
10092,1125,tuscaloosa,AL
10095,1065,hale,AL
10097,1051,elmore,AL
10099,1053,escambia,AL
10100,1003,baldwin,AL
10101,1121,talladega,AL
10102,1131,wilcox,AL
10103,1073,jefferson,AL
10104,1073,jefferson,AL
10108,1001,autauga,AL
10110,1011,bullock,AL
10112,1091,marengo,AL
10113,1097,mobile,AL
10114,1073,jefferson,AL
10118,1047,dallas,AL
10120,1099,monroe,AL
10125,1133,winston,AL
10126,1109,pike,AL
10128,1025,clarke,AL
10129,1003,baldwin,AL
10130,1115,st clair,AL
10131,1089,madison,AL
10138,1119,sumter,AL
10139,1073,jefferson,AL
10144,1097,mobile,AL
10148,1035,conecuh,AL
10149,1101,montgomery,AL
10150,1013,butler,AL
10157,1033,colbert,AL
10158,1059,franklin,AL
10164,1121,talladega,AL
10168,1113,russell,AL
10169,1053,escambia,AL
10173,1021,chilton,AL
10174,1025,clarke,AL
10175,1017,chambers,AL
11300,1129,washington,AL
11302,1059,franklin,AL
11304,1023,choctaw,AL
11305,1009,blount,AL
11306,1111,randolph,AL
13300,1073,jefferson,AL
13301,1097,mobile,AL
14000,1073,jefferson,AL
14006,1055,etowah,AL
14007,1125,tuscaloosa,AL
14012,1125,tuscaloosa,AL
14014,1097,mobile,AL
14015,1041,crenshaw,AL
14016,1043,cullman,AL
14017,1003,baldwin,AL
14018,1089,madison,AL
20001,2020,anchorage,AK
20006,2170,matanuska-susitna,AK
20008,2110,juneau,AK
20012,2090,fairbanks north star,AK
20017,2020,anchorage,AK
20018,2050,bethel,AK
20024,2122,kenai peninsula,AK
20026,2020,anchorage,AK
,2020,anchorage,AK
,2090,fairbanks north star,AK
21301,2261,valdez-cordova,AK
21302,2122,kenai peninsula,AK
21304,2280,wrangell-petersburg,AK
21305,2280,wrangell-petersburg,AK
21306,2150,kodiak island,AK
21307,2261,valdez-cordova,AK
21308,2180,nome,AK
21309,2070,dillingham,AK
21310,2188,northwest arctic,AK
21311,2130,ketchikan gateway,AK
21312,2185,north slope,AK
21313,2122,kenai peninsula,AK
21314,2220,sitka,AK
24001,2020,anchorage,AK
24002,2020,anchorage,AK
30002,4013,maricopa,AZ
30006,4019,pima,AZ
30007,4025,yavapai,AZ
30010,4019,pima,AZ
30011,4019,pima,AZ
30012,4025,yavapai,AZ
30013,4027,yuma,AZ
30014,4013,maricopa,AZ
30016,4021,pinal,AZ
30022,4013,maricopa,AZ
30023,4005,coconino,AZ
30024,4013,maricopa,AZ
30030,4013,maricopa,AZ
30036,4013,maricopa,AZ
30037,4013,maricopa,AZ
30038,4013,maricopa,AZ
30043,4003,cochise,AZ
30055,4015,mohave,AZ
30061,4013,maricopa,AZ
30062,4017,navajo,AZ
30064,4019,pima,AZ
30065,4013,maricopa,AZ
30068,4009,graham,AZ
30069,4015,mohave,AZ
30071,4001,apache,AZ
30073,4005,coconino,AZ
30074,4019,pima,AZ
30077,4007,gila,AZ
30078,4013,maricopa,AZ
30083,4013,maricopa,AZ
30084,4001,apache,AZ
30085,4019,pima,AZ
30087,4013,maricopa,AZ
30088,4013,maricopa,AZ
30089,4013,maricopa,AZ
30092,4013,maricopa,AZ
30093,4013,maricopa,AZ
30094,4013,maricopa,AZ
30101,4015,mohave,AZ
30103,4013,maricopa,AZ
30105,4013,maricopa,AZ
30107,4013,maricopa,AZ
30108,4013,maricopa,AZ
30110,4013,maricopa,AZ
30111,4019,pima,AZ
30112,4013,maricopa,AZ
30113,4017,navajo,AZ
30114,4019,pima,AZ
30115,4013,maricopa,AZ
30117,4015,mohave,AZ
30119,4013,maricopa,AZ
30121,4013,maricopa,AZ
30122,4013,maricopa,AZ
30123,4013,maricopa,AZ
30130,4021,pinal,AZ
30131,4013,maricopa,AZ
30134,4021,pinal,AZ
30136,4013,maricopa,AZ
30137,4019,pima,AZ
30138,4013,maricopa,AZ
30139,4013,maricopa,AZ
30146,4013,maricopa,AZ
30147,4013,maricopa,AZ
30148,4019,pima,AZ
31300,4013,maricopa,AZ
31301,4003,cochise,AZ
31302,4003,cochise,AZ
31304,4005,coconino,AZ
31305,4017,navajo,AZ
31307,4012,lapaz,AZ
31308,4021,pinal,AZ
31309,4001,apache,AZ
31311,4017,navajo,AZ
31312,4003,cochise,AZ
31313,4023,santa cruz,AZ
31314,4007,gila,AZ
31315,4001,apache,AZ
31317,4012,lapaz,AZ
31318,4007,gila,AZ
33302,4013,maricopa,AZ
34004,4013,maricopa,AZ
34013,4013,maricopa,AZ
34020,4013,maricopa,AZ
34021,4013,maricopa,AZ
34022,4019,pima,AZ
34023,4005,coconino,AZ
34024,4013,maricopa,AZ
34025,4025,yavapai,AZ
34026,4013,maricopa,AZ
34027,4017,navajo,AZ
34028,4013,maricopa,AZ
34029,4013,maricopa,AZ
34030,4019,pima,AZ
34031,4013,maricopa,AZ
34032,4013,maricopa,AZ
34033,4019,pima,AZ
34034,4013,maricopa,AZ
34035,4013,maricopa,AZ
40001,5007,benton,AR
40002,5071,johnson,AR
40004,5143,washington,AR
40007,5119,pulaski,AR
40010,5007,benton,AR
40011,5149,yell,AR
40014,5145,white,AR
40015,5113,polk,AR
40016,5119,pulaski,AR
40017,5009,boone,AR
40018,5033,crawford,AR
40019,5123,st francis,AR
40020,5031,craighead,AR
40022,5143,washington,AR
40026,5051,garland,AR
40027,5005,baxter,AR
40029,5045,faulkner,AR
40036,5119,pulaski,AR
40039,5055,greene,AR
40041,5115,pope,AR
40047,5121,randolph,AR
40050,5103,ouachita,AR
40051,5043,drew,AR
40055,5131,sebastian,AR
40062,5131,sebastian,AR
40067,5027,columbia,AR
